Country,Continent,MMR,log_MMR
Afghanistan,Asia,701.0,6.55250788703459
Angola,Africa,251.0,5.5254529391317835
Albania,Europe,15.0,2.70805020110221
Andorra,Europe,,
United Arab Emirates,Asia,3.0,1.0986122886681098
Argentina,America,41.0,3.713572066704308
Armenia,Asia,28.0,3.332204510175204
Antigua and Barbuda,America,43.0,3.7612001156935624
Australia,Oceania,6.0,1.791759469228055
Austria,Europe,5.0,1.6094379124341003
Azerbaijan,Asia,27.0,3.295836866004329
Burundi,Africa,568.0,6.342121418721152
Belgium,Europe,5.0,1.6094379124341003
Benin,Africa,421.0,6.042632833682381
Burkina Faso,Africa,343.0,5.8377304471659395
Bangladesh,Asia,200.0,5.298317366548036
Bulgaria,Europe,10.0,2.302585092994046
Bahrain,Asia,15.0,2.70805020110221
Bahamas,America,74.0,4.30406509320417
Bosnia and Herzegovina,Europe,10.0,2.302585092994046
Belarus,Europe,3.0,1.0986122886681098
Belize,America,43.0,3.7612001156935624
Bolivia,America,168.0,5.123963979403259
Brazil,America,63.0,4.143134726391533
Barbados,America,31.0,3.4339872044851463
Brunei,Asia,30.0,3.4011973816621555
Bhutan,Asia,203.0,5.313205979041787
Botswana,Africa,156.0,5.049856007249537
Central African Republic,Africa,912.0,6.815639990074331
Canada,America,11.0,2.3978952727983707
Switzerland,Europe,5.0,1.6094379124341003
Chile,America,14.0,2.6390573296152584
China,Asia,30.0,3.4011973816621555
Ivory Coast,Africa,658.0,6.489204931325317
Cameroon,Africa,554.0,6.317164686747284
The Democratic Republic of the Congo,Africa,490.0,6.194405391104672
Congo,Africa,416.0,6.030685260261263
Colombia,America,85.0,4.442651256490317
Comoros,Africa,285.0,5.652489180268651
Cabo Verde,Africa,61.0,4.110873864173311
Costa Rica,America,28.0,3.332204510175204
Cuba,America,38.0,3.6375861597263857
Cyprus,Asia,7.0,1.9459101490553132
Czechia,Europe,4.0,1.3862943611198906
Germany,Europe,5.0,1.6094379124341003
Djibouti,Africa,247.0,5.5093883366279774
Dominica,America,,
Denmark,Europe,4.0,1.3862943611198906
Dominican Republic,America,94.0,4.543294782270004
Algeria,Africa,114.0,4.736198448394496
Ecuador,America,63.0,4.143134726391533
Egypt,Africa,39.0,3.6635616461296463
Eritrea,Africa,518.0,6.249975242259483
Spain,Europe,4.0,1.3862943611198906
Estonia,Europe,10.0,2.302585092994046
Ethiopia,Africa,446.0,6.100318952020064
Finland,Europe,3.0,1.0986122886681098
Fiji,Oceania,35.0,3.5553480614894135
France,Europe,8.0,2.0794415416798357
Micronesia,Oceania,95.0,4.553876891600541
Gabon,Africa,261.0,5.564520407322694
United Kingdom,Europe,8.0,2.0794415416798357
Georgia,Asia,27.0,3.295836866004329
Ghana,Africa,320.0,5.768320995793772
Guinea,Africa,699.0,6.54965074223381
Gambia,Africa,625.0,6.437751649736401
Guinea-Bissau,Africa,694.0,6.542471960506805
Equatorial Guinea,Africa,296.0,5.69035945432406
Greece,Europe,3.0,1.0986122886681098
Grenada,America,25.0,3.2188758248682006
Guatemala,America,103.0,4.634728988229636
Guyana,America,172.0,5.147494476813453
Hong Kong,Asia,,
Honduras,America,67.0,4.204692619390966
Croatia,Europe,8.0,2.0794415416798357
Haiti,America,488.0,6.1903154058531475
Hungary,Europe,12.0,2.4849066497880004
Indonesia,Asia,192.0,5.2574953720277815
India,Asia,158.0,5.062595033026967
Ireland,Europe,6.0,1.791759469228055
Iran,Asia,17.0,2.833213344056216
Iraq,Asia,83.0,4.418840607796598
Iceland,Europe,4.0,1.3862943611198906
Israel,Asia,3.0,1.0986122886681098
Italy,Europe,2.0,0.6931471805599453
Jamaica,America,78.0,4.356708826689592
