Country,GDP,HDI,Education_Expenditure,Healthcare_Expenditure,Comparative_Abortion_Index,log_GDP,log_HDI,log_Education_Expenditure,log_Healthcare_Expenditure,log_Comparative_Abortion_Index
Afghanistan,592.4761647932555,0.47799999,3.2558000087738,10.10534763,1.0,6.385997052827527,0.39068981576011014,1.448282760515569,2.4074267607735877,0.6931471805599453
Albania,3952.803584108458,0.79500002,3.43796992301941,6.48361206,7.0,8.282433327258582,0.5850050330823034,1.4901970473399406,2.0127155711516935,2.0794415416798357
Algeria,4197.419971018676,0.74000001,7.96296739578247,6.97849178,3.0,8.342463536114968,0.5538851189735641,2.1931013547230065,2.0767493935989667,1.3862943611198906
Andorra,38885.53032371794,0.86699998,3.28034996986389,7.02324152,1.0,10.568403205471482,0.6243328538472127,1.4540347749106182,2.082342519770993,0.6931471805599453
Angola,3100.830685305332,0.58200002,3.09999990463257,2.60579467,1.0,8.039747759817837,0.45868988198768706,1.410986950449913,1.2825421819508174,0.6931471805599453
Antigua and Barbuda,14861.88270747037,0.79100001,2.65592861175537,5.27965546,1.0,9.606622290539365,0.5827741286620476,1.2963501270761448,1.8373151159177499,0.6931471805599453
Azerbaijan,5500.504620419536,0.74800003,2.95167994499207,4.10663605,7.0,8.612776901156845,0.558472294395815,1.3741407910271826,1.6305408801955534,2.0794415416798357
Argentina,13789.06042477202,0.84799999,5.77611017227173,10.22933674,3.0,9.531703352559619,0.614103967808237,1.913403216407617,2.4185297055635915,1.3862943611198906
Australia,56708.96119674003,0.93300003,5.3155198097229,10.18361282,7.0,10.945705156767671,0.659073215746111,1.8430100659101973,2.414449565793487,2.0794415416798357
Austria,44195.81759477482,0.91000003,5.45658016204834,10.36746693,7.0,10.69640806535544,0.6471032577653446,1.8650997909400853,2.4307554975419152,2.0794415416798357
Bahamas (the),29724.95333552332,0.81999999,2.39908027648926,5.14505529,5.0,10.29977579288736,0.5988364955941985,1.2235048881135973,1.8156477405365115,1.791759469228055
Bahrain,22795.4488576612,0.85799998,2.6745400428772,4.97671938,7.0,10.034360050954987,0.6195006296273841,1.301427966431072,1.7878718187650287,2.0794415416798357
Bangladesh,1236.00439770048,0.602,1.87225413322449,2.72187114,1.0,7.120447927519944,0.47125284864616745,1.0550971337700563,1.3142265364493193,0.6931471805599453
Armenia,3666.141825360822,0.76599997,2.80591011047363,10.11762714,7.0,8.207167843451273,0.5687170851942256,1.3365551507478712,2.4085318793616097,2.0794415416798357
Barbados,16990.21946684983,0.79100001,5.38309764862061,6.7748456,6.0,9.740451987655263,0.5827741286620476,1.853653504389805,2.0508935993472144,1.9459101490553132
Belgium,41008.29671947198,0.92400002,6.4515700340271,10.77388,7.0,10.621554069238131,0.6544063626385251,2.0084247530107486,2.4658835186057706,2.0794415416798357
Bhutan,2695.636904171261,0.62699997,6.23825979232788,3.75701189,3.0,7.899760684551431,0.48673780979805603,1.9793808173307812,1.5596197169214794,1.3862943611198906
Bolivia (Plurinational State of),2975.648811430626,0.69,8.14342975616455,6.55064964,4.0,7.998553386784879,0.5247285289349821,2.213035561923706,2.021633604592384,1.6094379124341003
Bosnia and Herzegovina,4654.609552247181,0.76099998,,9.35174561,7.0,8.445828126841466,0.5658818181568857,,2.3371551634612358,2.0794415416798357
Botswana,5869.737772072494,0.70200002,8.39457988739014,6.10287762,5.0,8.677735590115645,0.5318040419020635,2.2401329152493408,1.9605000005275306,1.791759469228055
Brazil,8783.214413107182,0.75300002,6.24105978012085,8.90930176,2.0,9.080711572958142,0.5613286173481105,1.9797675741550727,2.2934738877364986,1.0986122886681096
Belize,6142.478832692826,0.708,5.35773992538452,5.891294,5.0,8.72314644582156,0.5353230953663781,1.8496729565535976,1.9302588758097712,1.791759469228055
Solomon Islands,2134.805424368739,0.55900002,,4.44879532,1.0,7.666599102470496,0.44404460290437575,,1.6953945420398897,0.6931471805599453
Brunei Darussalam,30681.43743767527,0.83600003,,2.38708901,1.0,10.331445699446535,0.6075893085381678,,1.2199708533840354,0.6931471805599453
